Date,Time,Username,Mac Address,Access Point
17/10/2021,23:23:39,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:23:39,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:23:39,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:23:39,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:23:39,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:24:10,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:24:10,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:24:10,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:24:10,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:24:10,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:24:41,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:24:41,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:24:41,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:24:41,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:24:41,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:25:11,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:25:11,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:25:11,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:25:11,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:25:11,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:25:42,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:25:42,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:25:42,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:25:42,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:25:42,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:26:13,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:26:13,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:26:13,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:26:13,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:26:13,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:26:44,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:26:44,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:26:44,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:26:44,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:26:44,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:27:14,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:27:14,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:27:14,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:27:14,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:27:14,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:27:46,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:27:46,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:27:46,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:27:46,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:27:46,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:28:16,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:28:16,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:28:16,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:28:16,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:28:16,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:28:47,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:28:47,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:28:47,N/A,7c:1c:68:cb:8e:fc,Domo_Teleco2
17/10/2021,23:28:47,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:28:47,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:29:18,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:29:18,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:29:18,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
17/10/2021,23:29:18,fernando.campana,ac:af:b9:33:65:e8,Domo_Teleco1
17/10/2021,23:29:49,N/A,00:23:4e:60:df:5f,Domo_Teleco1
17/10/2021,23:29:49,N/A,3c:61:05:12:96:30,Domo_Teleco1
17/10/2021,23:29:49,caril.martinez,9c:b6:d0:10:22:6d,Domo_Teleco2
